                                                                09.04.2015 10:01
________________________________________________________________________________



Curve Name:
  PUL10 - minus baseline - 2deg per min, 6.82mg, 09.04.2015 10:01:19
  Performed 07.04.2015 19:03:11
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0        9.99434              0
             11             11        10.3519              0
             22             22        10.7189              0
             33             33         11.086              0
             44             44         11.453              0
             55             55          11.82              0
             66             66        12.1869              0
             77             77        12.5538              0
             88             88        12.9207              0
             99             99        13.2877              0
            110            110        13.6546              0
            121            121        14.0215              0
            132            132        14.3883              0
            143            143        14.7552              0
            154            154        15.1221              0
            165            165        15.4889              0
            176            176        15.8558              0
            187            187        16.2226              0
            198            198        16.5894              0
            209            209        16.9563              0
            220            220        17.3231              0
            231            231        17.6899              0
            242            242        18.0567              0
            253            253        18.4235              0
            264            264        18.7903              0
            275            275         19.157              0
            286            286        19.5238              0
            297            297        19.8906              0
            308            308        20.2574              0
            319            319        20.6242              0
            330            330        20.9909              0
            341            341        21.3577              0
            352            352        21.7245              0
            363            363        22.0912              0
            374            374         22.458              0
            385            385        22.8247              0
            396            396        23.1915              0
            407            407        23.5582              0
            418            418         23.925              0
            429            429        24.2917              0
            440            440        24.6584              0
            451            451        25.0252              0
            462            462        25.3919              0
            473            473        25.7586              0
            484            484        26.1254              0
            495            495        26.4921              0
            506            506        26.8589              0
            517            517        27.2256              0
            528            528        27.5923              0
            539            539        27.9591              0
            550            550        28.3258              0
            561            561        28.6925              0
            572            572        29.0592              0
            583            583        29.4259              0
            594            594        29.7927              0
            605            605        30.1594              0
            616            616        30.5261              0
            627            627        30.8929              0
            638            638        31.2596              0
            649            649        31.6263              0
            660            660         31.993              0
            671            671        32.3597              0
            682            682        32.7264              0
            693            693        33.0931              0
            704            704        33.4599              0
            715            715        33.8265              0
            726            726        34.1933              0
            737            737          34.56              0
            748            748        34.9267              0
            759            759        35.2934              0
            770            770        35.6601              0
            781            781        36.0268              0
            792            792        36.3936              0
            803            803        36.7602              0
            814            814         37.127              0
            825            825        37.4937              0
            836            836        37.8604              0
            847            847        38.2271              0
            858            858        38.5938              0
            869            869        38.9605              0
            880            880        39.3272              0
            891            891        39.6939              0
            902            902        40.0606              0
            913            913        40.4273              0
