          Index              t             Ts          Value
                           [s]         [degC]           [mW]
              0              0        9.99191              0
             21             21        10.3383              0
             42             42        10.6892              0
             63             63          11.04              0
             84             84        11.3906              0
            105            105        11.7412              0
            126            126        12.0916              0
            147            147        12.4421              0
            168            168        12.7925              0
            189            189        13.1429              0
            210            210        13.4933              0
            231            231        13.8436              0
            252            252        14.1939              0
            273            273        14.5442              0
            294            294        14.8945              0
            315            315        15.2447              0
            336            336        15.5949              0
            357            357        15.9452              0
            378            378        16.2954              0
            399            399        16.6456              0
            420            420        16.9957              0
            441            441        17.3459              0
            462            462        17.6961              0
            483            483        18.0462              0
            504            504        18.3964              0
            525            525        18.7465              0
            546            546        19.0966              0
            567            567        19.4468              0
            588            588        19.7969              0
            609            609         20.147              0
            630            630        20.4971              0
            651            651        20.8472              0
            672            672        21.1973              0
            693            693        21.5474              0
            714            714        21.8975              0
            735            735        22.2476              0
            756            756        22.5977              0
            777            777        22.9477              0
            798            798        23.2978              0
            819            819        23.6479              0
            840            840        23.9979              0
            861            861         24.348              0
            882            882         24.698              0
            903            903        25.0481              0
            924            924        25.3982              0
            945            945        25.7482              0
            966            966        26.0982              0
            987            987        26.4483              0
           1008           1008        26.7983              0
           1029           1029        27.1484              0
           1050           1050        27.4984              0
           1071           1071        27.8485              0
           1092           1092        28.1985              0
           1113           1113        28.5485              0
           1134           1134        28.8986              0
           1155           1155        29.2486              0
           1176           1176        29.5986              0
           1197           1197        29.9487              0
           1218           1218        30.2987              0
           1239           1239        30.6488              0
           1260           1260        30.9988              0
           1281           1281        31.3488              0
           1302           1302        31.6988              0
           1323           1323        32.0489              0
           1344           1344        32.3989              0
           1365           1365         32.749              0
           1386           1386         33.099              0
           1407           1407         33.449              0
           1428           1428        33.7991              0
           1449           1449        34.1491              0
           1470           1470        34.4992              0
           1491           1491        34.8492              0
           1512           1512        35.1992              0
           1533           1533        35.5493              0
           1554           1554        35.8993              0
           1575           1575        36.2494              0
           1596           1596        36.5994              0
           1617           1617        36.9494              0
           1638           1638        37.2995              0
           1659           1659        37.6495              0
           1680           1680        37.9996              0
           1701           1701        38.3496              0
           1722           1722        38.6997              0
           1743           1743        39.0497              0
           1764           1764        39.3997              0
           1785           1785        39.7498              0
           1806           1806        40.0998              0
           1827           1827        40.4499              0
           1848           1848        40.7999              0
           1869           1869          41.15              0
           1890           1890           41.5              0
           1911           1911        41.8501              0
           1932           1932        42.2001              0
           1953           1953        42.5502              0
           1974           1974        42.9002              0
           1995           1995        43.2503              0
           2016           2016        43.6003              0
           2037           2037        43.9503              0
           2058           2058        44.3004              0
           2079           2079        44.6505              0
           2100           2100        45.0005              0
           2121           2121        45.3506              0
           2142           2142        45.7006              0
           2163           2163        46.0507              0
           2184           2184        46.4007              0
           2205           2205        46.7508              0
           2226           2226        47.1009              0
           2247           2247        47.4509              0
           2268           2268         47.801              0
           2289           2289         48.151              0
           2310           2310        48.5011              0
           2331           2331        48.8512              0
           2352           2352        49.2012              0
           2373           2373        49.5513              0
           2394           2394        49.9014              0
           2415           2415        50.2514              0
           2436           2436        50.6015              0
           2457           2457        50.9515              0
           2478           2478        51.3016              0
           2499           2499        51.6517              0
           2520           2520        52.0018              0
           2541           2541        52.3518              0
           2562           2562        52.7019              0
           2583           2583        53.0519              0
           2604           2604         53.402              0
           2625           2625        53.7521              0
           2646           2646        54.1021              0
           2667           2667        54.4522              0
           2688           2688        54.8023              0
           2709           2709        55.1523              0
           2730           2730        55.5024              0
           2751           2751        55.8525              0
           2772           2772        56.2026              0
           2793           2793        56.5526              0
           2814           2814        56.9027              0
           2835           2835        57.2528              0
           2856           2856        57.6028              0
           2877           2877        57.9529              0
           2898           2898         58.303              0
           2919           2919         58.653              0
           2940           2940        59.0031              0
           2961           2961        59.3532              0
           2982           2982        59.7033              0
           3003           3003        60.0534     0.00023216
           3024           3024        60.4034    0.000324018
           3045           3045        60.7535     0.00068336
           3066           3066        61.1036    0.000558756
           3087           3087        61.4537    0.000977963
           3108           3108        61.8037    0.000975773
           3129           3129        62.1538     0.00147621
           3150           3150         62.504     0.00228784
           3171           3171         62.854     0.00295114
           3192           3192        63.2041     0.00304482
           3213           3213        63.5542     0.00346705
           3234           3234        63.9043     0.00373245
           3255           3255        64.2544     0.00413738
           3276           3276        64.6045     0.00444164
           3297           3297        64.9546     0.00438153
           3318           3318        65.3046     0.00460202
           3339           3339        65.6547     0.00512718
           3360           3360        66.0048     0.00533178
           3381           3381        66.3549     0.00609932
           3402           3402         66.705      0.0064183
           3423           3423        67.0551      0.0068045
