          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0       -69.9993              0
              6              6       -69.5042              0
             12             12       -69.0107              0
             18             18        -68.512              0
             24             24       -68.0123              0
             30             30       -67.5124              0
             36             36       -67.0125              0
             42             42       -66.5126              0
             48             48       -66.0126              0
             54             54       -65.5127              0
             60             60       -65.0128              0
             66             66       -64.5128              0
             72             72       -64.0129              0
             78             78        -63.513              0
             84             84       -63.0131              0
             90             90       -62.5131              0
             96             96       -62.0132              0
            102            102       -61.5133              0
            108            108       -61.0134              0
            114            114       -60.5135              0
            120            120       -60.0135              0
            126            126       -59.5136              0
            132            132       -59.0137              0
            138            138       -58.5138              0
            144            144       -58.0139              0
            150            150       -57.5139              0
            156            156        -57.014              0
            162            162       -56.5141              0
            168            168       -56.0142              0
            174            174       -55.5143              0
            180            180       -55.0144              0
            186            186       -54.5145              0
            192            192       -54.0145              0
            198            198       -53.5146              0
            204            204       -53.0147              0
            210            210       -52.5148              0
            216            216       -52.0149              0
            222            222        -51.515              0
            228            228       -51.0151              0
            234            234       -50.5152              0
            240            240       -50.0153              0
            246            246       -49.5154              0
            252            252       -49.0155              0
            258            258       -48.5156              0
            264            264       -48.0157              0
            270            270       -47.5158              0
            276            276       -47.0159              0
            282            282       -46.5161              0
            288            288       -46.0162              0
            294            294       -45.5163              0
            300            300       -45.0165              0
            306            306       -44.5167              0
            312            312       -44.0169              0
            318            318       -43.5171              0
            324            324       -43.0174              0
            330            330       -42.5176              0
            336            336       -42.0179              0
            342            342       -41.5183              0
            348            348       -41.0187              0
            354            354       -40.5192              0
            360            360       -40.0198              0
            366            366       -39.5205              0
            372            372       -39.0213              0
            378            378       -38.5223              0
            384            384       -38.0234              0
            390            390       -37.5247              0
            396            396       -37.0261              0
            402            402       -36.5276              0
            408            408       -36.0289              0
            414            414         -35.53              0
            420            420       -35.0307              0
            426            426       -34.5309              0
            432            432       -34.0307              0
            438            438       -33.5303              0
            444            444       -33.0299              0
            450            450       -32.5296              0
            456            456       -32.0294              0
            462            462       -31.5294              0
            468            468       -31.0293              0
            474            474       -30.5294              0
            480            480       -30.0294              0
            486            486       -29.5295              0
            492            492       -29.0296              0
            498            498       -28.5297              0
            504            504       -28.0298              0
            510            510       -27.5299              0
            516            516         -27.03              0
            522            522       -26.5301              0
            528            528       -26.0302              0
            534            534       -25.5303              0
            540            540       -25.0304              0
            546            546       -24.5305              0
            552            552       -24.0306              0
            558            558       -23.5308              0
            564            564       -23.0309              0
            570            570        -22.531              0
            576            576       -22.0311              0
            582            582       -21.5312              0
            588            588       -21.0313              0
            594            594       -20.5314              0
            600            600       -20.0316              0
            606            606       -19.5317              0
            612            612       -19.0318              0
            618            618       -18.5319              0
            624            624        -18.032              0
            630            630       -17.5322              0
            636            636       -17.0323              0
            642            642       -16.5324              0
            648            648       -16.0325              0
            654            654       -15.5326              0
            660            660       -15.0327              0
            666            666       -14.5328              0
            672            672       -14.0329              0
            678            678        -13.533              0
            684            684       -13.0332              0
            690            690       -12.5332              0
            696            696       -12.0333              0
            702            702       -11.5335              0
            708            708       -11.0336              0
            714            714       -10.5337              0
            720            720       -10.0338              0
            726            726       -9.53392              0
            732            732       -9.03404              0
            738            738       -8.53413              0
            744            744       -8.03426              0
            750            750       -7.53435              0
            756            756       -7.03446              0
            762            762        -6.5346              0
            768            768       -6.03469              0
            774            774        -5.5348              0
            780            780       -5.03493              0
            786            786       -4.53505              0
            792            792       -4.03516              0
            798            798       -3.53527              0
            804            804       -3.03538              0
            810            810        -2.5355              0
            816            816       -2.03561              0
            822            822       -1.53571              0
            828            828       -1.03582              0
            834            834      -0.535947              0
            840            840     -0.0360914              0
            846            846       0.463779              0
            852            852       0.963665              0
            858            858        1.46355              0
            864            864        1.96343              0
            870            870        2.46331              0
            876            876        2.96319              0
            882            882        3.46306              0
            888            888        3.96292              0
            894            894         4.4628              0
            900            900        4.96267              0
            906            906        5.46255              0
            912            912        5.96243              0
            918            918        6.46233              0
            924            924        6.96222              0
            930            930        7.46206              0
            936            936        7.96192              0
            942            942        8.46177              0
            948            948        8.96162              0
            954            954        9.46151              0
