          Index              t             Ts          Value
                           [s]           [°C]           [mW]
            257            257        78.1781              0
            258            258        78.6774              0
            259            259        79.1768              0
            260            260        79.6761              0
            261            261        80.1754              0
            262            262        80.6747              0
            263            263        81.1741              0
            264            264        81.6734              0
            265            265        82.1728              0
            266            266        82.6722              0
            267            267        83.1716              0
            268            268         83.671              0
            269            269        84.1704              0
            270            270        84.6699              0
            271            271        85.1693              0
            272            272        85.6688              0
            273            273        86.1683              0
            274            274        86.6679              0
            275            275        87.1675              0
            276            276         87.667              0
            277            277        88.1665              0
            278            278         88.666              0
            279            279        89.1656              0
            280            280        89.6651              0
            281            281        90.1647              0
            282            282        90.6642              0
            283            283        91.1637              0
            284            284        91.6631              0
            285            285        92.1625              0
            286            286        92.6619              0
            287            287        93.1613              0
            288            288        93.6609              0
            289            289        94.1606              0
            290            290        94.6602              0
            291            291        95.1598              0
            292            292        95.6594              0
            293            293         96.159              0
            294            294        96.6586              0
            295            295        97.1582              0
            296            296        97.6577              0
            297            297        98.1573              0
            298            298        98.6569              0
            299            299        99.1564              0
            300            300        99.6561              0
            301            301        100.156              0
            302            302        100.656              0
            303            303        101.155              0
            304            304        101.655              0
            305            305        102.155              0
            306            306        102.655              0
            307            307        103.154              0
            308            308        103.654              0
            309            309        104.154              0
            310            310        104.654              0
            311            311        105.153              0
            312            312        105.653              0
            313            313        106.153              0
            314            314        106.653              0
            315            315        107.153              0
            316            316        107.653              0
            317            317        108.153              0
            318            318        108.652              0
            319            319        109.152              0
            320            320        109.652              0
            321            321        110.152              0
            322            322        110.652              0
            323            323        111.152              0
            324            324        111.652              0
            325            325        112.152              0
            326            326        112.652              0
            327            327        113.153              0
            328            328        113.653              0
            329            329        114.153              0
            330            330        114.653  -8.34465e-005
            331            331        115.153   -0.000453949
            332            332        115.654   -0.000978947
            333            333        116.154   -0.000650406
            334            334        116.654    -0.00068903
            335            335        117.154   -0.000732899
            336            336        117.655   -0.000902653
            337            337        118.155   -0.000359535
            338            338        118.656   -0.000175476
            339            339        119.156    0.000128746
            340            340        119.657    0.000562668
            341            341        120.157    0.000600815
            342            342        120.658     0.00053978
            343            343        121.158     0.00111771
            344            344        121.659     0.00139904
            345            345         122.16     0.00253248
            346            346         122.66     0.00278711
            347            347        123.161      0.0030942
            348            348        123.662     0.00306559
            349            349        124.163     0.00483036
            350            350        124.663     0.00616693
            351            351        125.164     0.00757885
            352            352        125.665      0.0086112
            353            353        126.166      0.0114374
            354            354        126.667      0.0146627
            355            355        127.168      0.0186534
            356            356        127.669      0.0231485
            357            357        128.171      0.0293264
            358            358        128.672      0.0364656
            359            359        129.173      0.0451155
            360            360        129.675      0.0545459
            361            361        130.176       0.066143
            362            362        130.678       0.077189
            363            363         131.18      0.0883112
            364            364        131.681      0.0991273
            365            365        132.183       0.111983
            366            366        132.685       0.125657
            367            367        133.187       0.140696
            368            368        133.689       0.156534
            369            369        134.191       0.174328
            370            370        134.693       0.192604
            371            371        135.195       0.212148
            372            372        135.698       0.232622
            373            373          136.2       0.256183
            374            374        136.703       0.280658
            375            375        137.205       0.306714
            376            376        137.708        0.33448
            377            377        138.211       0.363368
            378            378        138.714        0.39582
            379            379        139.217        0.42957
            380            380         139.72       0.464952
            381            381        140.223       0.500943
            382            382        140.727       0.539217
            383            383         141.23       0.578862
            384            384        141.734       0.620325
            385            385        142.237        0.66259
            386            386        142.741       0.710484
            387            387        143.245       0.758657
            388            388        143.749       0.808705
            389            389        144.253       0.861834
            390            390        144.758       0.918699
            391            391        145.262       0.978565
            392            392        145.767        1.04058
            393            393        146.272        1.10409
